date,category,searches,views,favorites,listings,exam_days,demand
2026-08-08,Electronics,39,61,12,7,1,74.9
2026-08-08,Books,28,51,9,10,9,44.7
2026-08-08,Cycles,16,45,8,5,21,26.6
2026-08-08,Hostel Essentials,32,53,10,9,23,29.65
2026-08-08,Lab Equipment,23,50,8,7,0,52.04
2026-08-08,Furniture,21,40,6,8,5,39.42
2026-08-08,Clothing,19,44,9,9,6,39.22
2026-08-08,Sports Equipment,23,45,7,4,0,52.9
2026-08-09,Electronics,39,68,10,5,11,63.81
2026-08-09,Books,32,46,8,10,28,27.0
2026-08-09,Cycles,15,21,4,8,13,16.51
2026-08-09,Hostel Essentials,40,63,14,5,12,66.85
2026-08-09,Lab Equipment,14,37,8,4,16,40.01
2026-08-09,Furniture,22,26,6,9,2,38.89
2026-08-09,Clothing,37,51,9,10,16,34.19
2026-08-09,Sports Equipment,24,43,8,7,4,40.75
2026-08-10,Electronics,46,72,13,7,18,57.41
2026-08-10,Books,26,48,10,11,13,42.16
2026-08-10,Cycles,19,33,8,7,21,20.99
2026-08-10,Hostel Essentials,32,57,9,7,16,44.49
2026-08-10,Lab Equipment,19,46,7,6,7,48.12
2026-08-10,Furniture,10,22,6,10,27,6.38
2026-08-10,Clothing,33,46,8,11,15,29.55
2026-08-10,Sports Equipment,16,41,5,6,7,31.15
2026-08-11,Electronics,53,77,13,7,7,80.62
2026-08-11,Books,22,47,9,14,17,26.5
2026-08-11,Cycles,23,40,10,7,26,30.22
2026-08-11,Hostel Essentials,31,58,12,8,8,55.47
2026-08-11,Lab Equipment,24,48,11,7,20,35.09
2026-08-11,Furniture,16,25,6,8,10,29.98
2026-08-11,Clothing,20,33,8,9,22,16.59
2026-08-11,Sports Equipment,23,40,9,6,1,45.64
2026-08-12,Electronics,45,67,11,7,12,61.37
2026-08-12,Books,34,64,13,13,17,45.48
2026-08-12,Cycles,22,40,6,7,7,33.58
2026-08-12,Hostel Essentials,36,53,12,6,26,40.12
2026-08-12,Lab Equipment,23,33,5,7,18,27.34
2026-08-12,Furniture,19,23,4,9,5,22.1
2026-08-12,Clothing,25,43,9,10,24,26.1
2026-08-12,Sports Equipment,23,33,5,6,0,44.19
2026-08-13,Electronics,34,49,9,3,24,37.86
2026-08-13,Books,22,47,8,11,4,44.79
2026-08-13,Cycles,13,27,6,6,5,33.11
2026-08-13,Hostel Essentials,37,70,12,7,3,65.99
2026-08-13,Lab Equipment,30,48,10,7,30,30.05
2026-08-13,Furniture,19,21,3,8,27,8.44
2026-08-13,Clothing,35,55,8,10,17,33.18
2026-08-13,Sports Equipment,26,41,8,3,27,30.39
2026-08-14,Electronics,43,63,14,4,13,65.21
2026-08-14,Books,35,47,12,14,24,27.33
2026-08-14,Cycles,22,28,7,5,26,26.15
2026-08-14,Hostel Essentials,34,46,11,9,19,39.23
2026-08-14,Lab Equipment,23,42,7,5,15,35.97
2026-08-14,Furniture,19,31,9,8,17,22.2
2026-08-14,Clothing,29,49,12,11,17,36.48
2026-08-14,Sports Equipment,31,47,10,6,25,29.47
2026-08-15,Electronics,40,64,11,5,21,52.67
2026-08-15,Books,33,47,11,14,10,40.42
2026-08-15,Cycles,17,28,6,4,23,19.33
2026-08-15,Hostel Essentials,33,52,8,6,6,54.24
2026-08-15,Lab Equipment,24,40,9,8,9,47.81
2026-08-15,Furniture,18,30,7,7,9,27.54
2026-08-15,Clothing,27,39,7,12,9,29.57
2026-08-15,Sports Equipment,22,28,5,7,9,29.97
